Date Received;Requestor;Event Location;Event Start Date;Event End Date;Permit Status;Approved or Denied
07/14/2014;Albanian-American Community of IL (AACI);Daley Center;07/16/2014;07/16/2014;;Approved
07/15/2014;Albanian-American Civic League;Daley Center;08/04/2014;08/04/2014;;Approved
07/28/2014;Global March for Elephants, Rhinos and Lions;Daley Center;10/04/2014;10/14/2014;;Approved
07/29/2014;Active Transportation Alliance;Daley Center;07/26/2014;07/26/2014;;Approved
07/31/2014;Assyrian American National Federation ;Daley Center;08/08/2014;08/08/2014;;Approved
07/31/2014;Mexican Civic Society of IL and City of Chicago;Daley Center;09/15/2014;09/15/2014;;Approved
07/31/2014;Nativity Scene Committee;Daley Center;11/29/2014;12/27/2014;;Approved
08/04/2014;Great march for Climate Action;Daley Center;09/06/2014;09/06/2014;;Approved
08/04/2014;Improving Birth Chicago;Daley Center;09/01/2014;09/01/2014;;Approved
08/06/2014;DCASE - Food Truck Rally;Daley Center;10/10/2014;10/10/2014;;Approved
08/08/2014;Bear Necessities Pediatric Cancer Foundation;Daley Center;09/12/2014;09/12/2014;;Approved
08/08/2014;City Year Chicago;Daley Center;09/05/2014;09/05/2014;;Approved
08/08/2014;Pray Chicago;Daley Center;09/05/2014;09/05/2014;;Approved
08/08/2014;The Joffrey Ballet / Pi Cow So;Daley Center;08/14/2014;09/14/2014;;Approved
08/18/2014;Polish Newspaper Club;Daley Center;09/13/2014;09/13/2014;;Approved
08/26/2014;Bulls Filming / Chicago Bulls;Daley Center;09/03/2014;09/03/2014;;Approved
08/26/2014;Climate Change Rally / climate Change: Connections for Actions;Daley Center;09/27/2014;09/27/2014;;Approved
09/03/2014;Food Truck Rally / Business Affairs and Consumer Protection;Daley Center;09/26/2014;09/26/2014;;Approved
09/09/2014;CDOT / Office of the Mayor / Electric Car Week;Daley Center;09/19/2014;09/19/2014;;Approved
09/09/2014;Created Equal;Daley Center;10/09/2014;10/09/2014;;Withdrew
09/10/2014;Jane Addams Senior Caucus;Daley Center;10/07/2014;10/07/2014;;Approved
09/18/2014;Freedom of Religion Foundation;Daley Center;11/25/2014;12/28/2014;;Approved
09/18/2014;October 22nd Coalition Chicago;Daley Center;10/22/2014;10/22/2014;;Approved
09/18/2014;Planned Parenthood Federation of America;Daley Center;10/01/2014;10/02/2014;;Approved
09/18/2014;WLS TV Channel 7;Daley Center;09/25/2014;09/25/2014;;Approved
09/23/2014;BuildOn;Daley Center;09/27/2014;09/24/2014;;Approved
09/30/2014;Block 37 Photo Shoot;Daley Center;10/02/2014;10/02/2014;;Withdrew
09/30/2014;Sukka Display;Daley Center;10/05/2014;10/19/2014;;Approved
10/02/2014;Free Hugs / Paul Mitchell School;Daley Center;10/14/2014;10/14/2014;;Approved
10/13/2014;National Runaway Safeline;Daley Center;11/13/2014;11/13/2014;;Approved
10/16/2014;Chicago Packing Supply;Daley Center;11/07/2014;11/07/2014;;Approved
10/16/2014;MASOM;Daley Center;11/03/2014;11/03/2014;;Approved
10/17/2014;Elliot Dvorin / Music Video Filming;Daley Center;10/30/2014;10/30/2014;;Approved
10/28/2014;Eternal Flame cleaning and Maintenance;Daley Center;10/28/2014;10/28/2014;;Approved
11/01/2014;German American Services, Inc. / Christkindle Market;Daley Center;11/21/2014;12/24/2014;;Approved
11/17/2014;MASOM;Daley Center;12/07/2014;12/07/2014;;Approved
11/19/2014;DCASE / Tree Lighting;Daley Center;11/25/2014;11/25/2014;;Approved
12/02/2014;Forest Production;Daley Center;12/03/2014;12/03/2014;;Approved
01/02/2015;Armenian All Saints Apostolic Church & Community Center;Daley Center;04/24/2015;04/24/2015;;Approved
01/02/2015;Bastille Day / Committee of French Speaking Societies;Daley Center;07/14/2015;07/14/2015;;Approved
01/02/2015;Chicago Children's Advocacy Center;Daley Center;04/01/2015;04/01/2015;;Approved
01/02/2015;Forest Preserves of Cook County;Daley Center;06/09/2015;06/09/2015;;Approved
01/05/2015;Active Transportation Alliance;Daley Center;01/23/2015;01/23/2015;;Approved
01/05/2015;Chicago Cares;Daley Center;06/27/2015;06/27/2015;;Approved
01/05/2015;German American Services, Inc. / Christkindle Market;Daley Center;11/29/2015;01/10/2016;;Approved
01/16/2015;ALS Association Greater Chicago Chapter;Daley Center;06/23/2015;06/23/2015;;Approved
01/16/2015;Courtside Ministries;Daley Center;01/21/2015;03/27/2015;;Approved
01/16/2015;Dept. of Cultural Affairs & special Events DCASE / Ernie Banks Statue 2015;Daley Center;01/28/2015;01/31/2015;;Approved
01/26/2015;Awakening America Alliance;Daley Center;09/11/2015;09/11/2015;;Approved
02/09/2015;Consulate General of Bulgaria;Daley Center;03/01/2015;03/01/2015;;Approved
02/09/2015;We Can Together PAC;Daley Center;02/14/2015;02/14/2015;;Denied
02/13/2015;CDOT / One Earth Film Festival;Daley Center;03/07/2015;03/07/2015;;Approved
02/13/2015;Communion and Liberation;Daley Center;04/03/2015;04/03/2015;;Approved
02/17/2015;Croatian American Day;Daley Center;05/08/2015;05/08/2015;;Approved
02/18/2015;Joffrey Ballet / Pi Cow So Sculpture;Daley Center;03/01/2015;05/31/2015;;Approved
02/24/2015;Demoiselle 2 Femme;Daley Center;;10/10/2015;;Withdrew
02/24/2015;Illinois NoRML / Rok Steady;Daley Center;05/02/2015;05/02/2015;;Approved
02/24/2015;Office of Business Affairs & Consumer Protection - Food Truck Rallies;Daley Center;03/06/2015;10/28/2015;;Approved
02/24/2015;Office of Business Affairs & Consumer Protection - World Fair Trade;Daley Center;05/06/2015;05/07/2015;;Approved
02/24/2015;Vasta & Associates, INC / DCASE - Big Ten Letters;Daley Center;03/09/2015;03/15/2015;;Approved
03/04/2015;Assyrian American National Federation;Daley Center;03/10/2015;03/10/2015;;Withdrew
03/04/2015;Divine Mercy Project;Daley Center;04/03/2015;04/13/2015;;Approved
03/06/2015;Freedom From Religion Foundation;Daley Center;04/04/2015;04/14/2015;;Approved
03/09/2015;8th Day Center for Justice;Daley Center;04/03/2015;04/03/2015;;Approved
03/10/2015;Consulate General of India;Daley Center;08/15/2015;08/15/2015;;Approved
03/13/2015;Turkish American Cultural Alliance;Daley Center;09/02/2015;09/05/2015;;Approved
03/17/2015;City Year Chicago;Daley Center;03/20/2015;03/20/2015;;Approved
03/18/2015;Siskel / Jacobs Productions;Daley Center;03/24/2015;03/24/2015;;Approved
03/24/2015;Nehemiah Leaders;Daley Center;05/04/2015;05/04/2015;;Approved
03/25/2015;Chicago Alliance Against Racial and Political Repression;Daley Center;08/29/2015;08/29/2015;;Approved
03/26/2015;Asian American Coalition of Chicago;Daley Center;05/18/2015;05/22/2015;;Approved
03/26/2015;Polish Rally;Daley Center;04/10/2015;04/10/2015;;Approved
03/31/2015;ISKCON of Illinois;Daley Center;06/28/2015;06/28/2015;;Approved
03/31/2015;Mexican Civic Society of Illinois and City of Chicago;Daley Center;09/15/2015;09/15/2015;;Approved
04/08/2015;Pravin Action Committee;Daley Center;05/09/2015;05/09/2015;;Approved
04/09/2015;Department of Cultural Affairs & Special Events DCASE / Farmers Market;Daley Center;05/14/2015;10/29/2015;;Approved
04/09/2015;Future Founders;Daley Center;05/29/2015;05/29/2015;;Approved
04/13/2015;Disability Pride Parade Association;Daley Center;07/18/2015;07/18/2015;;Approved
04/15/2015;Courtside Ministries;Daley Center;04/08/2015;06/26/2015;;Approved
04/15/2015;Department of Cultural Affairs & Special Events DCASE / Bike to Work Rally;Daley Center;06/19/2015;06/19/2015;;Approved
04/15/2015;Department of Cultural Affairs & Special Events DCASE / Wreath Laying Ceremony;Daley Center;05/23/2015;05/23/2015;;Approved
04/15/2015;Red Hydrant Films;Daley Center;04/17/2015;04/17/2015;;Approved
04/23/2015;Eye on India / BACP;Daley Center;06/21/2015;06/21/2015;;Approved
04/23/2015;U.S. Army;Daley Center;06/10/2015;06/10/2015;;Approved
04/30/2015;Secretary of State Jesse White - Nepal Rally;Daley Center;05/08/2015;05/08/2015;;Withdrew
05/05/2015;Ogilvy & Mather - ALS Filming;Daley Center;05/12/2015;05/12/2015;;Approved
05/07/2015;Central American Fine Arts Center;Daley Center;07/31/2015;07/31/2015;;Withdrew
05/18/2015;Nepal Earthquake Relief Fund;Daley Center;05/19/2015;05/19/2015;;Approved
05/27/2015;City Year Chicago;Daley Center;05/29/2015;05/29/2015;;Approved
05/27/2015;Velasquez Rally;Daley Center;07/28/2015;07/28/2015;;Withdrew
05/28/2015;Nativity Scene Committee;Daley Center;11/28/2015;12/26/2015;;Approved
05/28/2015;Trust for Public Land / CDOT / City of Chicago;Daley Center;06/05/2015;06/05/2015;;Approved
05/28/2015;Bosniak Brotherhood of Genocide Survivors;Daley Center;07/11/2015;07/11/2015;;Approved
06/09/2015;Dept. of Cultural Affairs & Special Events DCASE / Sidewalk Sale;Daley Center;08/31/2015;09/01/2015;;Approved
06/09/2015;American Heart Association;Daley Center;07/29/2015;07/29/2015;;Approved
06/12/2015;Forest Productions - TLC Filming;Daley Center;06/24/2015;06/24/2015;;Approved
06/17/2015;Dept. of Cultural Affairs & Special Events DCASE / Taste Preview;Daley Center;06/24/2015;06/24/2015;;Approved
06/26/2015;Rizvi Rally;Daley Center;07/10/2015;07/10/2015;;Approved
06/30/2015;Improving Birth Rally;Daley Center;09/07/2015;09/07/2015;;Approved
07/15/2015;Renacer Boliviano;Daley Center;08/02/2015;08/02/2015;;Approved
07/15/2015;Department of Cultural Affairs and Special Events - Geek Street;Daley Center;07/22/2015;07/22/2015;;Approved
07/21/2015;Sing London United / DCASE;Daley Center;08/03/2015;07/31/2016;;Approved
07/22/2015;MUM;Daley Center;07/24/2015;07/24/2015;;Approved
07/28/2015;American Kidney Fund;Daley Center;08/26/2015;08/26/2015;;Approved
07/24/2015;The Realm Company, LTD;Daley Center;08/10/2015;08/14/2015;;Approved
08/03/2015;Courtside Ministries;Daley Center;07/01/2015;09/30/2015;;Approved
08/10/2015;Global March for Elephants, Rhinos and Lions;Daley Center;10/03/2015;10/03/2015;;Approved
08/19/2015;Da Chi Lite Joint, Inc.;Daley Center;08/22/2015;08/22/2015; ;Approved
08/19/2015;The Realm Company LTD - Fall Festival;Daley Center;09/30/2015;10/02/2015;;Approved
08/20/2015;Rotary International;Daley Center;09/24/2015;09/24/2015;;Approved
08/20/2015;City Year Chicago;Daley Center;08/28/2015;08/28/2015; ;Approved
08/25/2015;Lubavitch Chabad of the Loop, Gold Coast & Lincoln Park - Menorah 2015;Daley Center;11/30/2015;12/21/2015;;Approved
08/28/2015;Paul Mitchell the School Chicago;Daley Center;10/13/2015;10/13/2015;;Approved
08/31/2015;Department of Homeland Security and Emergency Management;Daley Center;09/08/2015;09/08/2015;;Approved
09/09/2015;Chicago Votes;Daley Center;09/22/2015;09/22/2015;;Approved
09/15/2015;Freedom From Religion Foundation;Daley Center;11/23/2015;12/27/2015;;Approved
09/15/2015;Kleo Foundation;Daley Center;10/23/2015;10/23/2015;;Approved
09/18/2015;Lubavitch Chabad of the Loop, Gold Coast & Lincoln Park - Sukka Display;Daley Center;09/24/2015;10/08/2015;;Approved
09/21/2015;Catholic Extension;Daley Center;09/22/2015;09/22/2015;;Approved
10/06/2015;The Remix Project;Daley Center;10/28/2015;10/28/2015;;Withdrew
10/08/2015;MASOM;Daley Center;10/24/2015;10/24/2015;;Approved
11/05/2015;MASOM;Daley Center;11/29/2015;11/29/2015;;Approved
11/24/2015;Deep Dish Productions of Chicago - Steve Harvey Filming;Daley Center;12/01/2015;12/01/2015;;Approved
01/04/2016;Committee of French Speaking Societies - Bastille Day;Daley Center;07/14/2016;07/14/2016;;Withdrew
01/04/2016;Active Transportation Alliance;Daley Center;01/22/2016;01/22/2016;;Approved
01/04/2016;Chicago Children's Advocacy Center;Daley Center;04/06/2016;04/06/2016;;Approved
01/04/2016;Forest Preserves of Cook County;Daley Center;06/07/2016;06/07/2016;;Approved
01/05/2016;The Women's Project;Daley Center;02/14/2016;02/14/2016;;Withdrew
01/05/2016;German American Services - Christkindlmarket 2016;Daley Center;11/17/2016;12/24/2016;;Approved
01/05/2016;Rape Victim Advocates;Daley Center;04/29/2016;04/29/2016;;Withdrew
01/11/2016;Turkish American Cultural Alliance - Turkish Festival;Daley Center;08/24/2016;08/27/2016;;Approved
01/11/2016;Concept Schools;Daley Center;05/27/2016;05/27/2016;;Approved
01/11/2016;Bob Rogers Travel / Showstoppers of SE MO;Daley Center;05/29/2016;05/29/2016;;Approved
01/12/2016;Amdur Productions - Art Festival;Daley Center;05/06/2016;05/07/2016;;Approved
01/12/2016;Consulate General of India;Daley Center;08/15/2016;08/16/2016;;Approved
01/13/2016;Disability Pride Parade Association - Disability Pride Festival and Parade;Daley Center;07/23/2016;07/23/2016;;Approved
01/13/2016;Courtside Ministries;Daley Center;01/06/2016;03/30/2016;;Approved
01/14/2016;Chicago Cares;Daley Center;06/25/2016;06/25/2016;;Approved
07/29/2016;Clerk of the Circuit Court;Daley Center;12/01/2016;12/01/2016;;Withdrew
01/19/2016;Office of Business Affairs and Consumer Protection - Food Trucks;Daley Center;03/04/2016;10/26/2016;;Approved
01/22/2016;ALS Association Greater Chicago Chapter;Daley Center;05/23/2016;05/24/2016;;Approved
01/22/2016;City Year of Chicago;Daley Center;01/29/2016;01/29/2016;;Approved
01/22/2016;City Year of Chicago;Daley Center;02/12/2016;02/12/2016;;Approved
01/22/2016;Amdur Productions - Amdur Weekly Shows;Daley Center;05/11/2016;10/26/2016;;Approved
01/25/2016;The Morton Arboretum - Arbor Day;Daley Center;04/29/2016;04/29/2016;;Approved
01/26/2016;Divided Films;Daley Center;;;;Approved
02/01/2016;Americans Against Abusive Probate Guardianship - Illinois;Daley Center;03/15/2016;03/15/2016;;Approved
02/02/2016;Rush Hour Concerts - Make Music Chicago;Daley Center;06/21/2016;06/21/2016;;Approved
02/03/2016;Consulate General of Bulgaria flag raising;Daley Center;02/26/2016;02/26/2016;;Approved
02/03/2016;Spark Program, Inc.;Daley Center;06/10/2016;06/10/2016;;Approved
02/08/2016;Human Adventure Corporation - Way of the Cross;Daley Center;03/25/2016;03/25/2016;;Approved
02/15/2016;Anthony LaPiana - The Movement Exhibit;Daley Center;10/02/2016;10/31/2016;;Approved
02/17/2016;The Remix Project;Daley Center;03/09/2016;03/09/2016;;Withdrew
02/23/2016;Friends for Foxx;Daley Center;02/29/2016;02/29/2016;;Approved
02/25/2016;Active Transportation Alliance - Bike to Work Rally;Daley Center;06/17/2016;06/17/2016;;Approved
02/24/2016;Freedom From Religion Foundation;Daley Center;03/26/2016;04/03/2016;;Approved
02/25/2016;Casa Aztlan;Daley Center;03/10/2016;03/10/2016;;Withdrew
02/24/2016;Picrow Features, Inc.;Daley Center;03/04/2016;03/04/2016;;Withdrew
02/24/2016;Alzheimer's Association;Daley Center;06/13/2016;06/13/2016;;Approved
02/26/2016;Urban Prep Charter School;Daley Center;03/03/2016;03/03/2016;;Withdrew
02/27/2016;American Kidney Fund;Daley Center;08/09/2016;08/10/2016;;Approved
03/02/2016;Cheryl Williams - Chalk Art Event ;Daley Center;06/24/2016;06/24/2016;;Approved
03/02/2016;Thomas Moore Society, Karl Fritz Family, Divine Mercy 33;Daley Center;03/24/2016;04/03/2016;;Approved
03/02/2016;Key Tov Orchestra;Daley Center;03/29/2016;03/29/2016;;Approved
03/04/2016;The Realm Company Ltd/Fred Martin Sr. - Arts Festival;Daley Center;08/14/2016;08/19/2016; ;Approved
03/04/2016;The Realm Company Ltd/Fred Martin Sr. - Fall Festival;Daley Center;09/27/2016;09/30/2016;;Withdrew
03/07/2016;8th Day Center for Justice;Daley Center;03/25/2016;03/25/2016;;Approved
03/14/2016;Chicago Jobs with Justice Rally;Daley Center;05/01/2016;05/01/2016;;Withdrew
03/31/2016;Brave Faces Productions;Daley Center;04/06/2016;04/06/2016;;Approved
04/01/2016;Simon  Wisenthal Center;Daley Center;05/09/2016;05/09/2016;;Approved
04/07/2016;Music Show Case;Daley Center;06/23/2016;06/23/2016;;Withdrew
04/07/2016;Elim Romanian Pentecostal Church;Daley Center;04/16/2016;04/16/2016;;Approved
04/11/2016;Bosnian Cultural Center;Daley Center;05/30/2016;05/30/2016;;Approved
04/07/2016;Polish Parade Committee - Polish Flag Raising;Daley Center;05/07/2016;05/07/2016;;Approved
04/20/2016;Consulate General of Peru in Chicago;Daley Center;07/28/2016;07/28/2016;;Approved
04/27/2016;Bahamas Flag Raising Ceremony;Daley Center;07/08/2016;07/08/2016;;Withdrew
04/27/2016;Illinois Corn Marketing Board;Daley Center;08/02/2016;08/02/2016;;Approved
04/27/2016;Ferris Fest;Daley Center;05/22/2016;05/22/2016;;Approved
04/27/2016;Bosniak Genocide Rally;Daley Center;07/11/2016;07/11/2016;;Withdrew
04/27/2016;OPRF Film;Daley Center;05/10/2016;05/10/2016;;Approved
05/02/2016;NoStigmas;Daley Center;06/18/2016;06/18/2016;;Approved
05/02/2016;Angel Trevino - Election Day Rally;Daley Center;05/13/2016;05/13/2016;;Withdrew
05/06/2016;City of Chicago Department of Cultural Affairs and Special Events-Memorial Day Wreath Event;Daley Center;05/23/2016;06/03/2016;;Approved
05/06/2016;Department of Cultural Affairs and Special Events - Farmers Market;Daley Center;05/12/2016;10/27/2016;;Approved
05/12/2016;Walk a Mile in Her Shoes;Daley Center;06/11/2016;06/11/2016;;Approved
05/17/2016;Pravin Action Committee;Daley Center;07/29/2016;07/29/2016;;Approved
05/17/2016;Chicago Commission on Human Relations;Daley Lobby;08/01/2016;08/31/2016;;Approved
05/17/2016;Chicago Commission on Human Relations;Daley Lobby;03/31/2017;05/01/2017;Pending;
05/23/2016;Department of Cultural Affairs & Special Events - Taste of Chicago;Daley Center;06/28/2016;06/28/2016;;Approved
05/23/2016;Grub Hub;Daley Center;06/24/2016;06/24/2016;;Withdrew
05/24/2016;Revolution World UFC Event;Daley Center;07/13/2016;07/13/2016;;Withdrew
05/31/2016;Lakeside Baptist Church;Daley Center;06/16/2016;06/16/2016;;Withdrew
06/06/2016;The Field Museum of Natural History;Daley Center;07/13/2016;07/14/2016;;Approved
06/06/2016;Al-Quds Mosque Rally;Daley Center;07/01/2016;07/01/2016;;Withdrew
06/08/2016;Cook County Department of Homeland Security & Emergency Management;Daley Center;09/20/2016;09/20/2016;;Approved
06/20/2016;Nativity Scene Committee;Daley Center;11/26/2016;12/31/2016;;Approved
06/20/2016;Smalls Museum Services /American Friends Service Committee;Daley Center;04/28/2017;06/02/2017;Pending;
06/20/2016;Chicago Ideas;Daley Center;10/14/2016;10/24/2016;;Approved
06/20/2016;Department of Cultural Affairs and Special Events - Picasso Dedication Event;Daley Center;08/15/2017;08/15/2017;Pending;
06/23/2016;Consulate General of Hungary;Daley Center;08/25/2016;09/04/2016;;Approved
06/27/2016;Chicago Event Management - International Chicago 5K Run;Daley Center;10/08/2016;10/08/2016;;Approved
07/07/2016;Global March for Elephants, Rhinos and Lions;Daley Center;09/18/2016;09/18/2016;;Withdrew
07/14/2016;Improving Birth;Daley Center;09/10/2016;09/10/2016;;Approved
07/25/2016;Mexican Civic Society of Illinois   ;Daley Center;09/15/2016;09/15/2016;;Approved
07/27/2016;ISKCON of Illinois;Daley Center;09/17/2016;09/17/2016;;Approved
07/27/2016;Turkish Consulate General Event;Daley Center;04/14/2017;04/21/2017;Pending;
07/29/2016;Sing London Limited;Daley Center;08/01/2016;08/03/2017;Pending;
08/17/2016;Larry Crost Articipation Event;Daley Center;08/31/2016;09/07/2016;;Approved
08/25/2016;CDOT and Department of Cultural Affairs & Special Events - National Drive Electrical Week;Daley Center;09/14/2016;09/14/2016;;Approved
08/30/2016;"Paul Mitchell the School Chicago ""Free Hugs Day""";Daley Center;10/11/2016;10/11/2016;;Approved
09/06/2016;Chicago Votes;Daley Center;09/27/2016;09/27/2016;;Withdrew
09/21/2016;Moving Parts, Inc. - Chicago Justice;Daley Center;10/01/2016;10/01/2016;;Approved
09/22/2016;Freedom From Religion Foundation;Daley Center;11/22/2016;12/28/2016;;Approved
09/27/2016;Department of Cultural Affairs and Special Events - Fountain Dying;Daley Center;10/05/2016;11/07/2016;;Approved
09/27/2016;MASOM Parade;Daley Center;10/12/2016;10/12/2016;;Approved
09/29/2016;SGA Youth & Family Services;Daley Center;11/18/2016;11/18/2016;;Approved
10/03/2016;Sukkah ;Daley Center;10/13/2016;10/26/2016;;Approved
10/03/2016;City Year Chicago;Daley Center;11/04/2016;11/04/2016;;Withdrew
10/04/2016;Department of Cultural Affairs & Special Events - Chicago Cubs;Daley Center;10/05/2016;10/05/2016;;Approved
10/04/2016;Lumbrida Bangi - Rosary Group Prayer;Daley Center;10/15/2016;10/15/2016;;Withdrew
10/06/2016;Cretan Fraternity of Chicago;Daley Center;11/18/2016;11/18/2016;;Withdrew
10/07/2016;Holy Replica of Shaine Display;Daley Center;10/13/2016;10/13/2016;;Withdrew
10/11/2016;Spark Program, Inc.;Daley Center;06/02/2017;06/02/2017;;Approved
10/11/2016;Deep Dish Productions of Chicago - Steve Harvey Filming;Daley Center;10/13/2016;10/13/2016;;Approved
10/20/2016;Forest Preserve of Cook County;Daley Center;06/06/2017;06/13/2017;Pending;
10/20/2016;Active Transportation Alliance;Daley Center;06/16/2017;06/16/2017;Pending;
10/20/2016;Active Transportation Alliance;Daley Center;01/13/2017;01/13/2017;;Approved
10/27/2016;Consulate General of India;Daley Center;08/15/2017;08/15/2017;Pending;
10/26/2016;Dominica Independence Flag Raising;Daley Center;11/03/2016;11/10/2016;;Withdrew
11/01/2016;MASOM Parade;Daley Center;11/20/2016;11/20/2016;;Approved
11/01/2016;Ziff A. Sistrunk - Prayer Vigil;Daley Center;11/16/2016;11/16/2016;;Withdrew
11/14/2016;Lincoln United Methodist Church;Daley Center;01/20/2017;01/20/2017;;Approved
11/21/2016;Amdur Productions, Inc.;Daley Center;05/02/2017;08/04/2017;Pending;
11/26/2016;Lubavitch Chabad of the Loop - Menorah Display;Daley Center;12/19/2016;01/09/2017;;Approved
12/06/2016;The ALS Association Greater Chicago  ;Daley Center;05/24/2017;05/24/2017;Pending;
12/06/2016;Consulate General of the Republic of Serbia;Daley Center;02/15/2017;02/15/2017;Pending;
01/03/2017;Gernam American Evetns, LLC - Christkindlmarket ;Daley Center;10/26/2017;01/10/2018;Pending;
01/05/2017;The Morton Arboretum ;Daley Center;04/28/2017;04/28/2017;Pending;
01/09/2017;Chalk Art;Daley Center;05/26/2017;05/26/2017;Pending;
01/10/2017;Rape Victim Advocates;Daley Center;04/28/2017;04/28/2017;Pending;
01/10/2017;City of Chicago Dept. of Business Affairs & Consumer Protection - Food Trucks;Daley Center;03/24/2017;10/27/2017;Pending;
01/11/2017;Chicago Ideas Week;Daley Center;10/09/2017;10/24/2017;Pending;
01/11/2017;Chicago Transit Authority;Daley Center;06/06/2017;06/06/2017;Pending;
01/11/2017;Consulate General of Bulgaria;Daley Center;03/04/2017;03/04/2017;;Approved
01/13/2017;Cradles to Crayons;Daley Center;08/09/2017;08/10/2017;Pending;
01/13/2017;Illinois Judicial Concil;Daley Center;02/01/2017;02/28/2017;;Approved
01/20/2017;American Heart Association;Daley Center;06/15/2017;06/15/2017;Pending;
01/23/2017;Consulate General of the Republic of Turkey & Turkish American Cultural Alliance;Daley Center;09/08/2017;09/09/2017;Pending;
01/23/2017;American Kidney Fund;Daley Center;06/06/2017;06/06/2017;Pending;
01/25/2017;Chicago Cares;Daley Center;06/24/2017;06/24/2017;Pending;
01/30/2017;The Markham Group;Daley Center;02/01/2017;02/01/2017;;Withdrew
02/03/2017;Ryan A. Rock - Political Rally;Daley Center;05/05/2017;05/05/2017;Pending;
02/07/2017;Not My President's Day;Daley Center;02/20/2017;02/20/2017;;Withdrew
02/10/2017;Alzheimer's Association;Daley Center;06/07/2017;06/07/2017;Pending;
02/13/2017;Human Adventure Corporation - Way of the Cross;Daley Center;04/14/2017;04/14/2017;Pending;
02/21/2017;Martha Neary - Your Are My Neighbor;Daley Center;03/18/2017;03/18/2017;;Approved
02/23/2017;Chicago Federation of Labor;Daley Center;05/01/2017;05/01/2017;;Approved
02/24/2017;Lincoln United Methodist Church;Daley Center;05/01/2017;05/01/2017;Pending;
02/28/2017;The Ancona School;Daley Center;05/01/2017;05/01/2017;;Approved
02/28/2017;Assyrian American National Federation;Daley Center;04/01/2017;04/01/2017;;Approved
03/04/2017;City Year Chicago;Daley Center;03/17/2017;03/17/2017;;Approved
03/13/2017;Shire;Daley Center;04/17/2017;04/17/2017;Pending;
03/14/2017;Freedom From Religion Foundation;Daley Center;04/13/2017;04/22/2017;;Approved
03/16/2017;IL N.O.R.M.C.;Daley Center;05/06/2017;05/06/2017;Pending;
03/16/2017;Thomas More Society - Divine Mercey;Daley Center;04/13/2017;04/24/2017;;Approved
03/16/2017;8th Day Center for Justice;Daley Center;04/14/2017;04/14/2017;;Approved
03/16/2017;Engage & Resonate, LLC - ComEd IceBox Derby;Daley Center;08/05/2017;08/05/2017;Pending;
03/17/2017;Polish Constitution Day Parade Committee;Daley Center;05/06/2017;05/06/2017;Pending;
03/23/2017;BH Club of Chicago;Daley Center;07/11/2017;07/11/2017;Pending;
03/28/2017;Asian American Coalition of Chicago;Daley Center;05/22/2017;05/26/2017;Pending;
03/28/2017;Enosis - Hellenic Flag Raising Ceremony;Daley Center;04/28/2017;04/28/2017;Pending;
04/03/2017;Tax March Chicago;Daley Center;04/15/2017;04/15/2017;Pending;
